, Instance, ogm-ICM, ogm-LBP-LF1, ogm-LBP-LF2, ogm-LF-1, ogm-LF-2, ogm-LF-3, ogm-TRWS-LF1, ogm-TRWS-LF2, BPS-TAB, ogm-BPS, ogm-LBP-0.5, ogm-LBP-0.95, ogm-TRBP-0.5, ogm-TRBP-0.95, ogm-TRBPS, ADDD, MPLP, MPLP-C, ogm-ADSAL, ogm-BUNDLE-A, ogm-BUNDLE-H, ogm-SG-A, ogm-BUNDLE-A+, ogm-SG-A+, ogm-BUNDLE-A-, ogm-SG-A-, TRWS-TAB, BRAOBB-1, BRAOBB-2, BRAOBB-3, ogm-CombiLP
1CKK, value, -11804.03, -12712.41, -12712.41, -11804.03, -12360.49, -12360.49, -12668.02, -12712.41, -12703.47, -10680.22, -12712.41, -12605.41, -12618.21, -11196.59, -10931.23, -9853.30, -11870.42, -12325.59, -12669.84, -11829.88, -11654.62, -11231.26, -11774.67, -11866.27, -11039.46, -10920.07, -12641.64, NaN, NaN, NaN, -12712.41
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12903.50, -12903.50, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21410.68, -12890.23, -12739.36, -12856.13, -13658.53, -13458.79, -14552.55, -13430.16, -13657.15, -15042.15, -16972.64, -12903.50, NaN, NaN, NaN, -12712.41
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.50 GB, 0.35 GB, 7.03 GB, 0.32 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 14.23 GB
, runtime, 0.10, 201.78, 226.09, 0.05, 117.33, 46929.31, 36.48, 122.92, 39.40, 222.07, 220.43, 210.76, 203.23, 202.77, 201.18, 310.95, 548.01, 3946.87, 1035.18, 893.44, 814.83, 856.09, 815.46, 807.18, 907.49, 892.03, 37.21, NaN, NaN, NaN, 579.37
1CM1, value, -11997.05, -12304.13, -12467.56, -11997.05, -11997.05, -12138.23, -12307.25, -12308.97, -12304.13, -12467.56, -12303.44, -12009.40, -12233.81, -11451.27, -11552.89, -8087.81, -12371.11, -12467.56, -12432.42, -11461.24, -11748.68, -10913.88, -11770.37, -12167.44, -10531.95, -9990.84, -12255.01, NaN, NaN, NaN, -12467.56
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12490.46, -12490.46, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -20773.86, -12486.16, -12467.56, -12487.13, -13452.39, -13365.36, -13837.22, -13326.03, -12945.52, -14436.80, -15479.56, -12490.46, NaN, NaN, NaN, -12467.56
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.49 GB, 0.33 GB, 3.07 GB, 0.30 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 13.88 GB
, runtime, 0.11, 180.80, 278.23, 0.06, 28.81, 18842.42, 29.57, 86.39, 32.16, 196.60, 191.47, 191.25, 192.39, 192.54, 191.55, 318.41, 455.70, 842.50, 642.05, 627.50, 627.53, 610.99, 671.31, 648.68, 615.90, 631.72, 30.42, NaN, NaN, NaN, 349.32
1SY9, value, -8642.71, -9175.99, -9175.99, -8642.71, -8644.56, -8703.14, -8979.67, -8979.67, -9175.99, -9175.99, -9175.99, -9175.99, -9175.99, -9175.99, -9175.99, -7294.62, -8849.89, -9175.99, -9175.99, -8545.39, -8735.78, -8558.69, -8727.00, -8867.27, -8801.64, -8414.60, -8946.14, NaN, NaN, NaN, -9175.99
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -9210.22, -9210.22, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -14728.27, -9193.89, -9175.99, -9196.55, -9609.73, -9486.34, -9849.12, -9476.09, -9401.10, -10390.19, -11148.51, -9210.22, NaN, NaN, NaN, -9175.99
, memory, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.51 GB, 0.38 GB, 3.52 GB, 0.35 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, 0.16 GB, NaN GB, NaN GB, NaN GB, 15.48 GB
, runtime, 0.09, 27.19, 52.75, 0.04, 64.58, 33918.40, 42.47, 67.12, 40.03, 9.38, 32.67, 8.97, 213.91, 166.19, 121.38, 326.25, 873.57, 666.34, 780.58, 865.45, 854.18, 833.28, 838.95, 831.28, 828.34, 833.96, 40.84, NaN, NaN, NaN, 260.97
2BBN, value, -11691.36, -11995.75, -11995.75, -11691.36, -11928.37, -11998.54, -12066.97, -12066.97, -11987.34, -11798.54, -11904.48, -11678.35, -11531.03, -11570.82, -10564.42, -9808.11, -11560.01, -12137.76, -12201.27, -11634.99, -11581.49, -10826.70, -11575.90, -11721.44, -10128.62, -9727.68, -12066.97, NaN, NaN, NaN, -12269.57
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12426.36, -12426.36, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -20999.08, -12412.46, -12305.54, -12400.24, -13074.20, -12977.64, -13396.57, -12950.10, -12993.71, -13815.93, -14941.67, -12426.36, NaN, NaN, NaN, -12269.57
, memory, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.85 GB, 0.62 GB, 6.30 GB, 0.51 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, 0.25 GB, NaN GB, NaN GB, NaN GB, 24.26 GB
, runtime, 0.17, 330.15, 371.71, 0.09, 106.67, 21738.92, 61.33, 106.26, 58.92, 375.99, 332.29, 327.55, 344.52, 341.66, 340.73, 644.99, 1577.51, 3865.88, 2356.69, 1244.79, 1199.05, 1160.48, 1258.61, 1160.89, 1274.53, 1243.64, 59.67, NaN, NaN, NaN, 3180.64
2BCX, value, -13011.27, -13382.16, -13711.69, -13011.27, -13213.66, -13218.55, -13742.54, -13820.59, -13642.39, -13780.77, -13338.22, -13448.56, -13550.83, -12831.62, -11555.30, -9235.06, -12962.85, -13069.88, -13816.12, -12833.59, -12502.50, -11837.97, -12344.60, -12612.27, -12139.36, -11538.13, -13480.13, NaN, NaN, NaN, -13820.59
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -14112.45, -14112.45, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -23632.47, -14054.25, -13991.47, -14051.73, -15544.96, -15473.93, -16131.05, -15444.29, -15403.37, -16956.53, -18690.76, -14112.45, NaN, NaN, NaN, -13820.59
