Command Line Args:
Namespace(root_dir='/home/ahabbas/data/learnDBCA/shape_matching/train_split/instances/')
file: 000000502228_138056_michael13_partial2_9992_michael15_partial5_17452_partial.lp, Per iteration time: 0.093, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 138056, Num BDD layers: 2215368
file: 000000643092_176584_david11_A0.90_H5_15318_david6_partial3_11312_partial.lp, Per iteration time: 0.096, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 176584, Num BDD layers: 2836552
file: 000000731132_200664_wolf0_A0.90_H5_7104_wolf2_partial2_5922_partial.lp, Per iteration time: 0.094, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 200664, Num BDD layers: 3224792
file: 000000739936_203072_dog1c_14738_dog5c_17360_partial.lp, Per iteration time: 0.098, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 203072, Num BDD layers: 3263616
file: 000000880400_241000_Teddy1_200_Teddy3_200_noniso.lp, Per iteration time: 0.096, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241000, Num BDD layers: 3882600
file: 000000880800_241600_Plane1_200_Plane12_200_noniso.lp, Per iteration time: 0.099, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Plane1_200_Plane3_200_noniso.lp, Per iteration time: 0.100, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Plane1_200_Plane7_200_noniso.lp, Per iteration time: 0.100, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Plier1_200_Plier12_200_noniso.lp, Per iteration time: 0.099, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Plier1_200_Plier3_200_noniso.lp, Per iteration time: 0.101, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Plier1_200_Plier7_200_noniso.lp, Per iteration time: 0.100, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Teddy1_200_Teddy12_200_noniso.lp, Per iteration time: 0.100, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_Teddy1_200_Teddy7_200_noniso.lp, Per iteration time: 0.099, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_cat0_200_cat6_200_.lp, Per iteration time: 0.096, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_centaur0_200_centaur5_200_.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_centaur0_200_david0_200_noniso.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_david0_200_david12_200_.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_dog10_200_cat10_200_noniso.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_dog10_200_dog8_200_.lp, Per iteration time: 0.094, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_fatkid10_200_fatkid7_200_.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_gorilla14_200_gorilla8_200_.lp, Per iteration time: 0.094, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_horse0_200_horse10_200_.lp, Per iteration time: 0.095, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_kid10_200_fatkid7_200_noniso.lp, Per iteration time: 0.094, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_kid10_200_kid5_200_.lp, Per iteration time: 0.097, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_michael0_200_michael2_200_.lp, Per iteration time: 0.099, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
