file: easy/instances/vpphard/instances/0.lp                       , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2358, Num BDD layers: 34502
file: easy/instances/vpphard/instances/1.lp                       , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1685, Num BDD layers: 18491
file: easy/instances/chromaticindex1024-7/instances/0.lp          , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 6, Num BDD layers: 22
file: easy/instances/air04/instances/0.lp                         , LP obj:   53190.436, ILP obj: nan, Percent rel. gap: nan, BDD LB:   46604.090, Percent BDD LB gap: 12.383, Num cons: 598, Num BDD layers: 45814
file: easy/instances/ab67-40-100/instances/0.lp                   , LP obj: -24463589727.000, ILP obj: nan, Percent rel. gap: nan, BDD LB: -24463589920.910, Percent BDD LB gap: 0.000, Num cons: 27, Num BDD layers: 534
file: easy/instances/disctom/instances/0.lp                       , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 394, Num BDD layers: 30367
file: easy/instances/f2gap801600/instances/0.lp                   , LP obj:   86570.121, ILP obj: nan, Percent rel. gap: nan, BDD LB:   86679.002, Percent BDD LB gap: -0.126, Num cons: 80, Num BDD layers: 3280
file: easy/instances/graph20-20-1rand/instances/0.lp              , LP obj:     -36.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -37.000, Percent BDD LB gap: 2.778, Num cons: 2429, Num BDD layers: 12198
file: easy/instances/sorrell8/instances/0.lp                      , LP obj:    -271.349, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -283.198, Percent BDD LB gap: 4.367, Num cons: 1554, Num BDD layers: 11083
file: easy/instances/eil33-2/instances/0.lp                       , LP obj:     811.279, ILP obj: nan, Percent rel. gap: nan, BDD LB:     745.960, Percent BDD LB gap: 8.051, Num cons: 32, Num BDD layers: 44275
file: easy/instances/stein9inf/instances/0.lp                     , LP obj:       4.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       3.200, Percent BDD LB gap: 20.000, Num cons: 13, Num BDD layers: 58
file: easy/instances/mod010/instances/0.lp                        , LP obj:    6452.083, ILP obj: nan, Percent rel. gap: nan, BDD LB:    4972.661, Percent BDD LB gap: 22.929, Num cons: 141, Num BDD layers: 8808
file: easy/instances/qap10/instances/0.lp                         , LP obj:     332.566, ILP obj: nan, Percent rel. gap: nan, BDD LB:     229.133, Percent BDD LB gap: 31.102, Num cons: 1820, Num BDD layers: 20020
file: easy/instances/toll-like/instances/0.lp                     , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2148, Num BDD layers: 8592
file: easy/instances/neos-1599274/instances/0.lp                  , LP obj:   31235.743, ILP obj: nan, Percent rel. gap: nan, BDD LB:   26047.770, Percent BDD LB gap: 16.609, Num cons: 1169, Num BDD layers: 44069
file: easy/instances/netdiversion/instances/0.lp                  , LP obj:       1.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.511, Percent BDD LB gap: 48.907, Num cons: 2469, Num BDD layers: 14307
file: easy/instances/netdiversion/instances/1.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2466, Num BDD layers: 14616
