file: easy/instances/vpphard/instances/0.lp                       , Per iteration time: 0.007, Num cons: 2358, Num BDD layers: 34502.
file: easy/instances/vpphard/instances/1.lp                       , Per iteration time: 0.004, Num cons: 1685, Num BDD layers: 18491.
file: easy/instances/chromaticindex1024-7/instances/0.lp          , Per iteration time: 0.000, Num cons: 6, Num BDD layers: 22.
file: easy/instances/air04/instances/0.lp                         , Per iteration time: 0.009, Num cons: 598, Num BDD layers: 45814.
file: easy/instances/ab67-40-100/instances/0.lp                   , Per iteration time: 0.001, Num cons: 27, Num BDD layers: 534.
file: easy/instances/disctom/instances/0.lp                       , Per iteration time: 0.004, Num cons: 394, Num BDD layers: 30367.
file: easy/instances/f2gap801600/instances/0.lp                   , Per iteration time: 0.005, Num cons: 80, Num BDD layers: 3280.
file: easy/instances/graph20-20-1rand/instances/0.lp              , Per iteration time: 0.001, Num cons: 2429, Num BDD layers: 12198.
file: easy/instances/sorrell8/instances/0.lp                      , Per iteration time: 0.000, Num cons: 1554, Num BDD layers: 11083.
file: easy/instances/eil33-2/instances/0.lp                       , Per iteration time: 0.063, Num cons: 32, Num BDD layers: 44275.
file: easy/instances/stein9inf/instances/0.lp                     , Per iteration time: 0.000, Num cons: 13, Num BDD layers: 58.
file: easy/instances/mod010/instances/0.lp                        , Per iteration time: 0.030, Num cons: 141, Num BDD layers: 8808.
file: easy/instances/qap10/instances/0.lp                         , Per iteration time: 0.000, Num cons: 1820, Num BDD layers: 20020.
file: easy/instances/toll-like/instances/0.lp                     , Per iteration time: 0.000, Num cons: 2148, Num BDD layers: 8592.
file: easy/instances/neos-1599274/instances/0.lp                  , Per iteration time: 0.018, Num cons: 1169, Num BDD layers: 44069.
file: easy/instances/netdiversion/instances/0.lp                  , Per iteration time: 0.000, Num cons: 2469, Num BDD layers: 14307.
file: easy/instances/netdiversion/instances/1.lp                  , Per iteration time: 0.000, Num cons: 2466, Num BDD layers: 14616.
file: easy/instances/netdiversion/instances/10.lp                 , Per iteration time: 0.000, Num cons: 2467, Num BDD layers: 14690.
file: easy/instances/netdiversion/instances/11.lp                 , Per iteration time: 0.000, Num cons: 2, Num BDD layers: 8.
file: easy/instances/netdiversion/instances/12.lp                 , Per iteration time: 0.000, Num cons: 2481, Num BDD layers: 14383.
file: easy/instances/netdiversion/instances/13.lp                 , Per iteration time: 0.000, Num cons: 2, Num BDD layers: 8.
file: easy/instances/netdiversion/instances/14.lp                 , Per iteration time: 0.000, Num cons: 2, Num BDD layers: 8.
file: easy/instances/netdiversion/instances/15.lp                 , Per iteration time: 0.000, Num cons: 2468, Num BDD layers: 14568.
file: easy/instances/netdiversion/instances/3.lp                  , Per iteration time: 0.000, Num cons: 2466, Num BDD layers: 14576.
file: easy/instances/netdiversion/instances/4.lp                  , Per iteration time: 0.001, Num cons: 2468, Num BDD layers: 14628.
file: easy/instances/netdiversion/instances/5.lp                  , Per iteration time: 0.000, Num cons: 2459, Num BDD layers: 14552.
file: easy/instances/netdiversion/instances/6.lp                  , Per iteration time: 0.000, Num cons: 2, Num BDD layers: 8.
